City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
554,Ambilobe,MG,77.65,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
559,Dingle,PH,85.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
563,Kalabagh,PK,72.68,clear sky,32.965,71.557,Paracha nimko shop
564,Daru,PG,86.05,scattered clouds,-9.0763,143.2092,Daru Lodge
567,San Juan,AR,75.58,few clouds,-31.5375,-68.5364,Hotel Provincial
570,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
571,Ndioum,SN,81.09,overcast clouds,16.5129,-14.6471,l'hôtel samassa
576,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
579,Arlit,NE,78.85,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
580,Sao Felix Do Xingu,BR,73.26,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
582,Abu Dhabi,AE,73.42,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
588,Guarapari,BR,73.29,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
593,Kourou,GF,81.1,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
596,Ambovombe,MG,75.78,scattered clouds,-25.1667,46.0833,RELAHARA
597,Vao,NC,74.12,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
602,Livingstone,ZM,78.39,overcast clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
603,Nampula,MZ,71.55,clear sky,-15.1165,39.2666,BUTIK Hotel
607,Kieta,PG,84.97,few clouds,-6.2167,155.6333,Uruna Bay Retreat
609,Kawalu,ID,87.4,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
611,Saint-Paul,RE,75.29,clear sky,-21.0096,55.2707,Boucan Canot
613,Magdalena,PH,88.43,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
615,Prainha,BR,74.21,broken clouds,-1.8,-53.48,Casa Rocha
617,Buala,SB,86.67,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
620,Iracoubo,GF,77.7,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
621,Sinnamary,GF,77.92,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
625,Uthal,PK,79.77,clear sky,25.8072,66.6219,Al-Mustafa Hotel
626,Pimenta Bueno,BR,73.53,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
627,Safford,US,70.11,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
629,Kalmunai,LK,75.99,overcast clouds,7.4167,81.8167,VS Villa
638,Emerald,AU,86.14,scattered clouds,-23.5333,148.1667,The Irish Village
639,Acarau,BR,79.03,broken clouds,-2.8856,-40.12,castelo pizzaria
643,Cabo San Lucas,MX,81.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
644,Owo,NG,71.74,overcast clouds,7.1962,5.5868,The Chancery Hotel and Resort limited
648,Galesong,ID,86.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
649,Finschhafen,PG,86.61,clear sky,-6.6024,147.8681,Cossam Guest House
652,The Valley,AI,80.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
656,Gamba,GA,75.83,moderate rain,-2.65,10.0,
657,Gondanglegi,ID,89.83,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
658,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
659,Kupang,ID,86.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
663,Buenaventura,CO,74.71,overcast clouds,3.8801,-77.0312,La Casa Blanca Hotel
664,Shimoda,JP,70.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
665,Sampit,ID,90.25,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
666,Cayhagan,PH,82.89,overcast clouds,9.6697,122.4256,Melrose Beach Resort
667,Jalingo,NG,75.43,light rain,8.8833,11.3667,Debright Motel
668,Carutapera,BR,77.86,broken clouds,-1.195,-46.02,Lidera
669,Padang,ID,83.25,overcast clouds,-0.9492,100.3543,Mercure Padang
671,Wanning,CN,71.31,overcast clouds,18.8003,110.3967,Paradise Hotel
680,Turan,VN,73.38,broken clouds,16.0678,108.2208,Sun River Hotel
683,Trenggalek,ID,88.3,broken clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
684,Senanga,ZM,75.27,broken clouds,-16.1167,23.2667,Zango lodge
