City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Bam,IR,2021-11-08 18:02:29,29.106,58.357,55.58,49,1,4.09
282,Idar,DE,2021-11-08 18:02:30,49.7167,7.3,46.44,84,46,0.67
283,College,US,2021-11-08 18:02:30,64.8569,-147.8028,15.46,86,71,4.32
284,Akhmim,EG,2021-11-08 18:02:30,26.5622,31.745,78.57,18,0,6.82
285,Osoyoos,CA,2021-11-08 18:00:29,49.0331,-119.4524,44.04,71,100,3.74
286,Buraydah,SA,2021-11-08 18:02:31,26.326,43.975,64.87,14,0,10.65
287,Neutraubling,DE,2021-11-08 18:02:31,48.9833,12.2,43.0,81,98,2.3
288,Grand Gaube,MU,2021-11-08 18:02:32,-20.0064,57.6608,75.38,87,15,5.01
289,Mayor Pablo Lagerenza,PY,2021-11-08 18:02:32,-19.9309,-60.7718,81.81,52,97,4.72
290,San Andres,CO,2021-11-08 18:02:33,12.5847,-81.7006,82.2,75,44,14.81
291,Khilok,RU,2021-11-08 18:02:33,51.3674,110.4676,27.3,70,66,9.71
292,Esperance,AU,2021-11-08 18:02:34,-33.8667,121.9,57.29,74,100,19.64
